Evolution Event: Win 3 times against the Team GO R - Unova Stone
Location: Kanto : Kanagawa :flag_jp: | Kanto : Tokyo :flag_jp: | Kanto : Saitama :flag_jp:
Ends in 7 hours and 41 mins | December 10 2019 23:59 JST Quest Reset!
35.748978,139.606898, 1.5min
35.763396,139.620039, 1.5min
35.754770,139.628879, 1.5min - Set 1
35.752964,139.642390, 1.5min
35.760339,139.657766, 2.5min
35.737699,139.671879, 3min - Set 2
35.706211,139.666860, 0.1min
35.701965,139.660325, 1.5min
35.704232,139.642539, 1.5min - Set 3
35.716916,139.630194, 4min
35.668358,139.642134, 2.5min
35.650879,139.633097, 1.5min - Set 4
35.647858,139.620769, 2.5min
35.656877,139.599306, 3min
35.632971,139.572975, 3min - Set 5
35.649246,139.534464, 3min
35.616653,139.545474, 6min
35.586800,139.628820, 1.5min - Set 6
35.587394,139.646411, 4min
35.550067,139.676004, 3min
35.541032,139.707813, 1.5min - Set 7
35.555244,139.718003, 2.5min
35.574189,139.734583, 3min
35.595680,139.701115, 0.1min - Set 8
35.602686,139.704655, 1.5min
35.618453,139.703051, 3min
35.638388,139.726212, 1.5min - Set 9
35.638025,139.708429, 2.5min
35.646802,139.677630, 3min
35.670468,139.702487, 1.5min - Set 10
35.681025,139.687395, 1.5min
35.694660,139.692561, 1.5min
35.694817,139.704384, 0min - Set 11
35.698300,139.705853, 1.5min
35.708931,139.705930, 0min
35.710845,139.709731, 1.5min - Set 12
35.721902,139.713902, 0min
35.724571,139.714231, 0.1min
35.729756,139.713890, 1.5min - Set 13
35.733234,139.725982, 3min
35.732495,139.767491, 4min
35.773025,139.764506, 3min - Set 14
35.793880,139.794319, 3min
35.773224,139.818435, 2.5min
35.778175,139.843964, 1.5min - Set 15
35.762836,139.837893, 6min
35.696991,139.881492, 0min
35.696154,139.880510, 2.5min - Set 16
35.680660,139.868404, 1.5min
35.667692,139.861686, 4min
35.703960,139.825201, 1.5min - Set 17
35.710816,139.816755, 1.5min
35.713360,139.797381, 1.5min
35.699117,139.790394, 4min - Set 18
35.658991,139.787905, 2.5min
35.640194,139.788789, 4min
35.671696,139.761991, 0min - Set 19
35.674341,139.757880, 2.5min
35.667453,139.733576, 3min
35.701132,139.741051, END - Set 20

© Bản Quyền Thuộc Về Gotcha Mod !
